"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"72","","Robby Anderson","NYJ","WR32","11","52","127","77.5","15.3","89.0","+17.0"
"73","","Cooper Kupp","LAR","WR33","12","35","121","78.3","16.6","84.0","+11.0"
"74","","Robert Woods","LAR","WR34","12","51","164","79.7","21.6","80.0","+6.0"
"75","","Kyle Rudolph","MIN","TE8","10","55","128","79.9","14.8","73.0","-2.0"
"76","","Alshon Jeffery","PHI","WR35","9","33","177","79.8","32.2","68.0","-8.0"
"77","","Devin Funchess","CAR","WR36","4","52","178","82.2","18.6","79.0","+2.0"
"78","","Pierre Garcon","SF","WR37","11","42","161","84.4","19.1","91.0","+13.0"
"79","","Chris Thompson","WAS","RB28","4","46","131","82.9","20.2","100.0","+21.0"
"80","","Jamaal Williams","GB","RB29","7","46","134","83.8","21.6","74.0","-6.0"
"81","","Kerryon Johnson","DET","RB30","6","34","124","82.0","23.2","72.0","-9.0"
"82","","Trey Burton","CHI","TE9","5","41","128","88.3","19.6","85.0","+3.0"
"83","","Kirk Cousins","MIN","QB7","10","49","118","79.2","15.6","87.0","+4.0"
"84","","Matthew Stafford","DET","QB8","6","56","138","80.4","16.7","95.0","+11.0"
"85","","Sony Michel","NE","RB31","11","44","132","88.0","20.5","77.0","-8.0"
"86","","Will Fuller","HOU","WR38","10","58","175","92.9","20.6","75.0","-11.0"
"87","","Nelson Agholor","PHI","WR39","9","51","176","90.9","24.5","99.0","+12.0"
"88","","Randall Cobb","GB","WR40","7","42","183","86.7","24.8","96.0","+8.0"
"89","","Carson Wentz","PHI","QB9","9","46","168","85.5","23.9","76.0","-13.0"
"90","","Jordy Nelson","OAK","WR41","7","39","165","95.3","22.5","92.0","+2.0"
"91","","Chris Carson","SEA","RB32","7","45","159","93.5","28.4","90.0","-1.0"
"92","","Julian Edelman","NE ","WR42","11","56","183","94.3","28.2","70.0","-22.0"
"93","","Duke Johnson","CLE","RB33","11","47","154","95.3","26.0","86.0","-7.0"
"94","","Kenny Stills","MIA","WR43","11","52","188","96.1","29.5","113.0","+19.0"
"95","","Jordan Reed","WAS","TE10","4","63","139","98.6","15.2","83.0","-12.0"
"96","","Andrew Luck","IND","QB10","9","55","169","90.0","19.8","93.0","-3.0"
"97","","Isaiah Crowell","NYJ","RB34","11","54","189","98.9","23.3","94.0","-3.0"
"98","","Ben Roethlisberger","PIT","QB11","7","62","145","95.3","17.0","98.0","0.0"
"99","","Tarik Cohen","CHI","RB35","5","45","153","97.8","21.3","82.0","-17.0"
"100","","Philip Rivers","LAC","QB12","8","58","137","96.7","16.0","106.0","+6.0"
"101","","Rashaad Penny","SEA","RB36","7","37","151","99.3","29.3","81.0","-20.0"
"102","","Peyton Barber","TB","RB37","5","32","233","104.2","37.3","105.0","+3.0"
"103","","Jack Doyle","IND","TE11","9","42","156","107.1","20.9","107.0","+4.0"
"104","","Sterling Shepard","NYG","WR44","9","66","174","107.4","23.6","102.0","-2.0"
"105","","Kelvin Benjamin","BUF","WR45","11","62","198","104.1","21.5","110.0","+5.0"
"106","","Jimmy Garoppolo","SF","QB13","11","60","200","102.9","22.9","101.0","-5.0"
"107","","Marlon Mack","IND","RB38","9","49","176","103.4","25.1","97.0","-10.0"
"108","","Matt Ryan","ATL","QB14","8","72","160","106.1","20.0","103.0","-5.0"
"109","","David Njoku","CLE","TE12","11","75","157","113.5","17.2","109.0","0.0"
"110","","Matt Breida","SF","RB39","11","41","274","113.0","41.3","133.0","+23.0"
"111","","Jared Goff","LAR","QB15","12","85","142","112.9","12.8","115.0","+4.0"
"112","","George Kittle","SF","TE13","11","78","167","116.8","17.9","129.0","+17.0"
"113","","Patrick Mahomes","KC","QB16","12","63","248","113.5","28.4","114.0","+1.0"
"114","","Marcus Mariota","TEN","QB17","8","76","153","118.7","14.0","131.0","+17.0"
"115","","James White","NE","RB40","11","68","204","121.1","32.6","112.0","-3.0"
"116","","Alfred Morris","SF","RB41","11","52","328","115.6","54.9","136.0","+20.0"
"117","","Ronald Jones II","TB","RB42","5","50","185","117.0","33.0","104.0","-13.0"
"118","","Kenny Golladay","DET","WR46","6","80","187","126.4","23.1","143.0","+25.0"
"119","","Tyler Lockett","SEA","WR47","7","39","246","128.3","37.2","152.0","+33.0"
"120","","Devante Parker","MIA","WR48","11","64","193","119.6","28.1","116.0","-4.0"
"121","","O.J. Howard","TB","TE14","5","83","201","131.6","24.0","154.0","+33.0"
"122","","Bilal Powell","NYJ","RB43","11","75","181","125.7","22.3","140.0","+18.0"
"123","","Alex Smith","WAS","QB18","4","85","168","123.0","15.2","124.0","+1.0"
"124","","C.J. Anderson","CAR","RB44","4","57","215","122.3","28.4","121.0","-3.0"
