"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"314","","Jalen Richard","OAK","RB82","7","187","318","271.6","39.6","345.0","+31.0"
"315","","Curtis Samuel","CAR","WR105","4","189","302","260.1","34.2","292.0","-23.0"
"316","","Kenny Britt","FA","WR106","","179","373","260.0","40.7","347.0","+31.0"
"317","","Mark Walton","CIN","RB83","9","181","329","307.5","41.5","374.0","+57.0"
"318","","Baker Mayfield","CLE","QB34","11","182","312","270.9","39.2","235.0","-83.0"
"319","","Elijah McGuire","NYJ","RB84","11","184","317","262.5","33.1","290.0","-29.0"
"320","","Nick Foles","PHI","QB35","9","185","322","258.3","53.1","289.0","-31.0"
"321","","Corey Grant","JAC","RB85","9","189","291","242.7","28.3","320.0","-1.0"
"322","","Jordan Akins","HOU","TE41","10","191","266","228.5","37.5","380.0","+58.0"
"323","","J.J. Nelson","ARI","WR107","9","193","292","259.1","26.7","339.0","+16.0"
"324","","Mike Gillislee","NO","RB86","6","193","341","272.2","43.4","333.0","+9.0"
"325","","Taylor Gabriel","CHI","WR108","5","194","276","245.2","22.7","303.0","-22.0"
"326","","Travis Benjamin","LAC","WR109","8","195","285","247.4","24.6","283.0","-43.0"
"327","","Alfred Blue","HOU","RB87","10","199","344","282.7","46.3","365.0","+38.0"
"328","","Torrey Smith","CAR","WR110","4","200","304","262.1","28.7","338.0","+10.0"
"329","","Josh Hill","NO","TE42","6","206","225","214.3","7.9","",""
"330","","Jaylen Samuels","PIT","TE43","7","224","243","234.7","7.9","278.0","-52.0"
"331","","Jaron Brown","SEA","WR111","7","208","296","247.1","23.7","358.0","+27.0"
"332","","Jeremy Kerley","BUF","WR112","11","219","280","251.7","25.1","",""
"333","","Blake Jarwin","DAL","TE44","8","239","285","253.6","16.1","288.0","-45.0"
"334","","Ed Dickson","SEA","TE45","7","222","280","256.5","23.6","311.0","-23.0"
"335","","Brice Butler","FA","WR113","","205","307","257.7","31.9","349.0","+14.0"
"336","","D.J. Chark","JAC","WR114","9","206","309","259.5","33.7","300.0","-36.0"
"337","","Chester Rogers","IND","WR115","9","203","289","260.4","29.7","308.0","-29.0"
"338","","Jakeem Grant","MIA","WR116","11","205","382","261.8","70.5","221.0","-117.0"
"339","","Garrett Celek","SF","TE46","11","207","296","262.6","27.0","317.0","-22.0"
"340","","Josh McCown","NYJ","QB36","11","219","314","267.0","31.9","344.0","+4.0"
"341","","Equanimeous St. Brown","GB","WR117","7","262","285","270.0","10.6","414.0","+73.0"
"342","","Adam Humphries","TB","WR118","5","231","297","270.3","28.4","353.0","+11.0"
"343","","Nathan Peterman","BUF","QB37","11","218","305","271.7","32.1","426.0","+83.0"
"344","","Tyler Higbee","LAR","TE47","12","251","308","272.3","22.0","400.0","+56.0"
"345","","J'Mon Moore","GB","WR119","7","264","281","272.5","8.5","312.0","-33.0"
"346","","Mark Andrews","BAL","TE48","10","244","326","272.7","37.7","266.0","-80.0"
"347","","Tavon Austin","DAL","WR120","8","226","305","273.2","24.7","284.0","-63.0"
"348","","Teddy Bridgewater","NO","QB38","6","245","305","275.0","30.0","411.0","+63.0"
"349","","Chris Conley","KC","WR121","12","247","304","275.5","28.5","",""
"350","","Joe Williams","FA","RB88","","238","332","275.5","32.1","323.0","-27.0"
"351","","Kyle Juszczyk","SF","RB89","11","214","325","280.5","29.8","440.0","+89.0"
"352","","Ryan Fitzpatrick","TB","QB39","5","237","317","281.0","33.1","355.0","+3.0"
"353","","Josh Rosen","ARI","QB40","9","232","315","281.4","31.5","293.0","-60.0"
"354","","DeAndre Washington","OAK","RB90","7","208","319","282.6","31.7","391.0","+37.0"
"355","","Keke Coutee","HOU","WR122","10","241","304","282.7","20.9","310.0","-45.0"
"356","","Brett Maher","DAL","K28","8","219","312","283.4","33.1","386.0","+30.0"
"357","","Brandon LaFell","OAK","WR123","7","246","359","284.8","41.1","361.0","+4.0"
"358","","Jacquizz Rodgers","TB","RB91","5","201","332","290.2","39.6","354.0","-4.0"
"359","","Cody Latimer","NYG","WR124","9","243","375","290.7","59.8","377.0","+18.0"
"360","","New York (NYJ)","","DST29","11","229","391","291.6","59.1","316.0","-44.0"
"361","","Boston Scott","NO","RB92","6","229","329","291.9","37.6","375.0","+14.0"
"362","","Sebastian Janikowski","SEA","K29","7","278","308","293.0","15.0","336.0","-26.0"
"363","","Charles Sims","FA","RB93","","244","327","293.9","23.2","332.0","-31.0"
"364","","Travaris Cadet","FA","RB94","","261","319","299.3","20.7","301.0","-63.0"
"365","","Phillip Lindsay","DEN","RB95","10","250","325","299.7","35.1","359.0","-6.0"
"366","","Jermaine Gresham","ARI","TE49","9","268","338","303.0","35.0","",""
"367","","Terrance West","FA","RB96","","230","396","303.5","43.2","434.0","+67.0"
"368","","Jeff Heuerman","DEN","TE50","10","255","385","303.7","57.9","404.0","+36.0"
"369","","De'Angelo Henderson","NYJ","RB97","11","244","328","305.0","25.3","",""
"370","","Demetrius Harris","KC ","TE51","12","286","324","305.0","19.0","",""
"371","","Seth DeValve","CLE","TE52","11","290","320","305.0","15.0","",""
"372","","Thomas Rawls","FA","RB98","","203","333","306.4","44.0","405.0","+33.0"
"373","","Justin Jackson","FA","RB99","","253","326","307.0","23.0","327.0","-46.0"
"374","","Chris Herndon IV","NYJ","TE53","11","252","365","308.5","56.5","",""
"375","","Breshad Perriman","FA","WR125","","228","393","310.5","82.5","",""
"376","","Cameron Artis-Payne","CAR","RB100","4","238","330","311.2","33.0","305.0","-71.0"
"377","","Demarcus Robinson","KC","WR126","12","245","378","311.5","66.5","",""
"378","","Robert Turbin","IND ","RB101","9","265","328","312.4","18.2","360.0","-18.0"
"379","","Carlos Henderson","DEN","WR127","10","270","356","313.0","43.0","",""
"380","","Orleans Darkwa","FA","RB102","","260","331","314.7","24.3","372.0","-8.0"
"381","","ArDarius Stewart","NYJ ","WR128","11","252","380","316.0","64.0","",""
"382","","Keith Smith","OAK","RB103","7","309","326","317.0","7.0","",""
"383","","Chris Moore","BAL","WR129","10","265","377","321.0","56.0","",""
"384","","Chandler Catanzaro","TB","K30","5","275","384","322.2","35.0","396.0","+12.0"
"385","","Amara Darboh","NE","WR130","11","293","357","325.0","32.0","",""
"386","","Ito Smith","ATL","RB104","8","313","340","328.0","9.7","",""
"387","","Malcolm Brown","LAR","RB105","12","318","339","328.0","8.6","315.0","-72.0"
"388","","Damien Williams","KC","RB106","12","314","343","328.5","10.3","",""
"389","","Darrel Williams","KC","RB107","12","329","333","331.0","2.0","",""
"390","","Marcus Murphy","BUF","RB108","11","277","387","332.0","55.0","384.0","-6.0"
"391","","Oakland (OAK)","","DST30","7","319","346","332.5","13.5","368.0","-23.0"
"392","","Miami (MIA)","","DST31","11","321","366","343.5","22.5","346.0","-46.0"
""
""
